# 1553303452
# 1553303452
499219 569
3042849 634
# 1553303453
# 1553303453
10556545 1677
# 1553303454
# 1553303454
3850199 275
4569369 505
# 1553303455
# 1553303455
16866029 167
# 1553303456
# 1553303456
# 1553303457
# 1553303457
18935040 5660
28172219 3989
# 1553303458
# 1553303458
31641489 811
# 1553303459
# 1553303459
4394205 1709
# 1553303460
# 1553303460
# 1553303461
# 1553303461
# 1553303462
# 1553303462
28339582 2702
33229990 3279
# 1553303463
# 1553303463
7887490 2724
31194153 408
# 1553303464
# 1553303464
# 1553303465
# 1553303465
25384255 450
# 1553303466
# 1553303466
2637100 3289
19180059 2000
# 1553303467
# 1553303467
15374633 381
# 1553303468
# 1553303468
7744115 2315
10866664 247
18611971 207
# 1553303468
# 1553303468
19369497 4397
# 1553303470
# 1553303470
# 1553303471
# 1553303471
# 1553303472
# 1553303472
# 1553303472
# 1553303472
# 1553303474
# 1553303474
# 1553303475
# 1553303475
# 1553303476
# 1553303476
# 1553303477
# 1553303477
# 1553303478
# 1553303478
2767106 597
20491069 453
38554581 5006
# 1553303479
# 1553303479
23204423 605
# 1553303480
# 1553303480
# 1553303481
# 1553303481
23841006 1048
27098938 406
# 1553303482
# 1553303482
25718173 4218
32537430 1578
# 1553303483
# 1553303483
36372001 3671
# 1553303484
# 1553303484
18458923 2877
# 1553303485
# 1553303485
12266813 3604
15448453 4336
31621404 2721
# 1553303486
# 1553303486
# 1553303487
# 1553303487
24374808 3189
# 1553303488
8813175 924
# 1553303489
# 1553303489
3959419 2969
# 1553303490
20884153 3353
# 1553303491
# 1553303491
# 1553303492
# 1553303492
8559560 3867
# 1553303493
# 1553303493
19834902 3783
# 1553303494
# 1553303494
23743740 1099
25004803 747
28884297 514
# 1553303495
# 1553303495
# 1553303496
# 1553303497
# 1553303497
# 1553303498
# 1553303498
# 1553303499
# 1553303499
# 1553303500
# 1553303500
15891003 2966
34328044 294
# 1553303501
# 1553303501
4702278 1038
# 1553303502
# 1553303502
# 1553303503
# 1553303503
2484312 517
# 1553303504
# 1553303504
27089872 648
# 1553303505
# 1553303505
35212777 121
38370444 172
# 1553303506
# 1553303506
# 1553303507
# 1553303507
17792868 558
22821993 385
# 1553303508
# 1553303508
# 1553303508
# 1553303508
19449896 916
23777085 369
# 1553303510
# 1553303510
# 1553303511
# 1553303511
# 1553303512
# 1553303512
10389977 3968
29640208 891
# 1553303513
# 1553303513
# 1553303514
# 1553303514
# 1553303515
# 1553303515
# 1553303516
# 1553303516
# 1553303517
# 1553303517
9128706 2669
21088221 640
# 1553303518
# 1553303518
# 1553303519
# 1553303519
39004879 2834
# 1553303520
# 1553303520
# 1553303521
# 1553303521
9353702 5363
# 1553303522
# 1553303522
38957061 1615
# 1553303523
# 1553303523
33380621 6740
# 1553303524
# 1553303524
25001156 921
33027583 3157
# 1553303525
# 1553303525
# 1553303526
# 1553303526
1698011 524
# 1553303527
# 1553303527
32718495 112
# 1553303528
# 1553303528
22225081 2270
# 1553303529
# 1553303529
# 1553303530
# 1553303530
# 1553303531
