# Name = UIS1
# Version = 1.0
# Location = Universidad Industrial de Santander
# Sensors = Presion, Temperatura, Humedad, Irradiancia, Iluminancia, Ruido, LLuvia, CO2, NO2, Latitud, Longitud, Nubosidad
# Power = Red
# GPS = si
# Time Zone = UTC-5
# Data = UTCtime GPStime Presion Temperatura Humedad Irradiancia Iluminancia  Ruido Lluvia CO2 NO2 Latitud Longitud Nubosidad 
1500811369.0 83 115806.00	858.03	11.17	76.11	247.47	228.89	-0.00	0.00	309.83	0.00	0.00	0.00
1500811370.0 83 115806.00	857.32	10.79	72.78	249.23	235.40	-0.00	0.00	310.00	0.00	0.00	0.00
1500811371.0 83 115806.00	858.38	11.36	72.63	250.98	232.78	-0.00	0.00	309.94	0.00	0.00	0.00
1500811372.0 83 115806.00	858.38	11.36	69.78	249.23	234.09	-0.00	0.00	310.00	0.00	0.00	0.00
1500811373.0 83 115806.00	858.38	11.36	72.78	247.47	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811374.0 83 115806.00	857.67	10.98	72.63	249.23	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811375.0 83 115806.00	857.67	10.98	73.42	252.74	236.72	-0.00	0.00	310.05	0.00	0.00	0.00
1500811376.0 83 115806.00	858.38	11.36	73.89	249.23	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811377.0 81 115806.00	857.67	10.98	67.25	252.74	236.72	-2.33	0.00	310.00	0.00	0.00	0.00
1500811378.0 81 115806.00	857.67	10.98	73.26	247.47	232.78	-0.00	0.00	310.05	0.00	0.00	0.00
1500811379.0 81 115806.00	856.46	10.98	76.58	247.47	228.89	-0.00	0.00	309.77	0.00	0.00	0.00
1500811380.0 81 115806.00	858.03	11.17	72.31	249.23	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811381.0 81 115806.00	857.32	10.79	77.37	249.23	231.48	-0.00	0.00	310.05	0.00	0.00	0.00
1500811382.0 81 115806.00	857.67	10.98	74.21	252.74	239.37	-0.00	0.00	309.94	0.00	0.00	0.00
1500811383.0 82 115806.00	856.46	10.98	70.09	249.23	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811384.0 82 115806.00	856.46	10.98	73.58	250.98	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811385.0 82 115806.00	858.03	11.17	71.20	254.49	238.04	-0.00	0.00	310.00	0.00	0.00	0.00
1500811386.0 82 115806.00	858.38	11.36	70.25	249.23	231.48	-0.00	0.00	310.11	0.00	0.00	0.00
1500811387.0 82 115806.00	857.67	10.98	71.04	249.23	231.48	-0.00	0.00	309.94	0.00	0.00	0.00
1500811388.0 82 115806.00	856.46	10.98	70.57	250.98	235.40	-0.00	0.00	310.00	0.00	0.00	0.00
1500811389.0 82 115806.00	858.03	11.17	65.82	249.23	232.78	-0.00	0.00	310.28	0.00	0.00	0.00
1500811390.0 82 115806.00	857.67	10.98	76.42	249.23	234.09	-0.00	0.00	309.89	0.00	0.00	0.00
1500811391.0 82 115806.00	857.67	10.98	69.78	252.74	242.03	-2.33	0.00	310.17	0.00	0.00	0.00
1500811392.0 82 115806.00	856.81	11.17	75.63	247.47	231.48	-0.00	0.00	309.89	0.00	0.00	0.00
1500811393.0 82 115806.00	857.67	10.98	73.10	249.23	234.09	-0.00	0.00	309.89	0.00	0.00	0.00
1500811395.0 82 115806.00	858.03	11.17	78.16	247.47	228.89	-0.00	0.00	309.77	0.00	0.00	0.00
1500811396.0 82 115806.00	856.46	10.98	72.31	249.23	234.09	-0.00	0.00	309.94	0.00	0.00	0.00
1500811397.0 82 115806.00	856.46	10.98	73.73	249.23	235.40	-2.33	0.00	309.94	0.00	0.00	0.00
1500811398.0 82 115806.00	858.03	11.17	69.78	249.23	232.78	-0.00	0.00	310.17	0.00	0.00	0.00
1500811399.0 82 115806.00	858.38	11.36	75.00	245.72	231.48	-0.00	0.00	309.83	0.00	0.00	0.00
1500811400.0 82 115806.00	856.81	11.17	73.58	249.23	234.09	-2.33	0.00	309.83	0.00	0.00	0.00
